epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1198,1.60649,3.0877,1.17823,0.00603,0.90559,0.22526,0.06051,1.77551,3.59101,1.16932,0.000541775,0.000541775,0.000541775
2,79.4617,1.67718,2.58482,1.2895,1,0.02258,0.0766,0.03279,1.72544,3.4676,1.35797,0.00108839,0.00108839,0.00108839
3,119.283,1.63322,2.35238,1.29486,0.5558,0.50696,0.54519,0.2405,1.74316,2.51267,1.25007,0.00162583,0.00162583,0.00162583
4,158.909,1.62922,2.18936,1.28886,0.58444,0.77631,0.6906,0.32259,1.68847,1.98678,1.28742,0.00162574,0.00162574,0.00162574
5,198.194,1.63297,1.95197,1.27734,0.73744,0.74918,0.87502,0.40418,1.72206,1.70199,1.27161,0.00161199,0.00161199,0.00161199
6,237.647,1.58599,1.77787,1.25352,0.78611,0.63671,0.74114,0.37416,1.70524,2.00489,1.29749,0.00159824,0.00159824,0.00159824
7,276.853,1.57501,1.66778,1.29937,0.85568,0.80279,0.88622,0.45019,1.69647,1.47428,1.30761,0.00158448,0.00158448,0.00158448
8,317.877,1.53076,1.53266,1.24659,0.85288,0.81005,0.87696,0.45211,1.72523,1.2693,1.308,0.00157073,0.00157073,0.00157073
9,357.351,1.50202,1.38768,1.21689,0.83511,0.83472,0.8626,0.43,1.70929,1.32875,1.25194,0.00155698,0.00155698,0.00155698
10,396.476,1.55137,1.39978,1.23001,0.90622,0.84011,0.93119,0.40444,1.82391,1.21016,1.31203,0.00154323,0.00154323,0.00154323
11,435.874,1.52887,1.26554,1.20427,0.84406,0.85015,0.89006,0.41075,1.85709,1.1972,1.35348,0.00152947,0.00152947,0.00152947
12,475.625,1.52579,1.25451,1.20918,0.9588,0.89265,0.93511,0.44986,1.78316,1.08126,1.31047,0.00151572,0.00151572,0.00151572
13,515.102,1.50089,1.19811,1.21329,0.86814,0.87861,0.90517,0.43843,1.76757,1.17038,1.26524,0.00150197,0.00150197,0.00150197
14,554.553,1.51507,1.23568,1.22426,0.89925,0.87678,0.92669,0.45441,1.70646,1.10468,1.29228,0.00148821,0.00148821,0.00148821
15,594.116,1.44946,1.19105,1.19185,0.96579,0.8588,0.9307,0.45194,1.75504,1.12042,1.29292,0.00147446,0.00147446,0.00147446
